,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
86,gorontalo,100,ID,1604337625,71,0.54,123.06,75.29,1.88
87,jamestown,90,US,1604337569,95,42.1,-79.24,35.01,20.8
88,irun,90,ES,1604337714,93,43.34,-1.79,61.0,2.24
89,adre,13,TD,1604337714,22,13.47,22.2,85.35,10.49
90,bethel,75,US,1604337714,48,41.37,-73.41,39.99,17.22
91,dumas,1,US,1604337714,41,35.87,-101.97,64.0,14.99
92,banda aceh,89,ID,1604337714,81,5.56,95.32,80.31,2.37
93,riyadh,0,SA,1604337468,27,24.69,46.72,78.8,3.36
94,cabo san lucas,5,MX,1604337714,51,22.89,-109.91,88.0,5.03
95,hobart,90,AU,1604337517,59,-42.88,147.33,62.01,11.41
96,xiaoshi,0,CN,1604337715,80,41.3,124.12,32.0,6.71
97,vaini,75,TO,1604337701,94,-21.2,-175.2,73.4,8.05
98,coahuayana,40,MX,1604337715,42,18.73,-103.68,80.6,20.8
99,arraial do cabo,40,BR,1604337715,64,-22.97,-42.03,75.2,10.29
100,port hawkesbury,90,CA,1604337715,100,45.62,-61.35,57.99,21.92
101,mount gambier,99,AU,1604337715,59,-37.83,140.77,62.6,10.29
102,adrar,100,MR,1604337715,12,20.5,-10.07,90.16,7.43
103,asau,0,RO,1604337716,87,46.43,26.4,48.2,3.36
104,bontang,100,ID,1604337716,84,0.13,117.5,78.51,6.78
105,suntar,74,RU,1604337716,86,62.14,117.63,7.02,9.13
106,yuzhno-kurilsk,94,RU,1604337716,85,44.03,145.86,50.94,12.24
107,new norfolk,100,AU,1604337716,56,-42.78,147.06,62.01,1.01
108,vila franca do campo,20,PT,1604337716,59,37.72,-25.43,64.4,14.99
109,kavieng,75,PG,1604337716,73,-2.57,150.8,82.78,3.33
110,tabas,0,IR,1604337717,17,33.6,56.92,66.2,4.7
111,ixtapa,5,MX,1604337666,55,20.7,-105.2,87.8,4.7
112,dunedin,82,NZ,1604337717,80,-45.87,170.5,50.0,1.99
113,naze,40,JP,1604337717,78,28.37,129.48,75.2,18.34
114,broken hill,34,AU,1604337717,42,-31.95,141.43,68.0,10.29
115,abu dhabi,0,AE,1604337717,58,24.47,54.37,84.2,5.82
